data,valor
2010-01-01,19198.0
2010-02-01,19624.0
2010-03-01,20205.0
2010-04-01,20536.0
2010-05-01,20674.0
2010-06-01,20514.0
2010-07-01,20723.0
2010-08-01,21005.0
2010-09-01,21336.0
2010-10-01,21686.0
2010-11-01,21881.0
2010-12-01,22301.0
2011-01-01,22887.0
2011-02-01,23275.0
2011-03-01,23597.0
2011-04-01,23831.0
2011-05-01,23771.0
2011-06-01,23542.0
2011-07-01,23803.0
2011-08-01,23761.0
2011-09-01,23844.0
2011-10-01,24206.0
2011-11-01,24494.0
2011-12-01,24767.0
2012-01-01,25296.0
2012-02-01,25723.0
2012-03-01,26107.0
2012-04-01,26335.0
2012-05-01,25971.0
2012-06-01,25980.0
2012-07-01,26163.0
2012-08-01,27284.0
2012-09-01,27247.0
2012-10-01,27617.0
2012-11-01,28472.0
2012-12-01,29172.0
2013-01-01,30221.0
2013-02-01,30770.0
2013-03-01,31720.0
2013-04-01,32707.0
2013-05-01,32839.0
2013-06-01,33100.0
2013-07-01,33524.0
2013-08-01,33955.0
2013-09-01,34504.0
2013-10-01,35026.0
2013-11-01,35688.0
2013-12-01,37067.0
2014-01-01,38621.0
2014-02-01,39102.0
2014-03-01,39328.0
2014-04-01,39564.0
2014-05-01,39180.0
2014-06-01,39301.0
2014-07-01,39683.0
2014-08-01,40373.0
2014-09-01,41178.0
2014-10-01,41735.0
2014-11-01,42203.0
2014-12-01,43182.0
2015-01-01,44179.0
2015-02-01,44628.0
2015-03-01,45074.0
2015-04-01,45118.0
2015-05-01,44500.0
2015-06-01,44874.0
2015-07-01,44922.0
2015-08-01,45041.0
2015-09-01,45196.0
2015-10-01,45458.0
2015-11-01,45684.0
2015-12-01,46040.0
2016-01-01,46834.0
2016-02-01,47422.0
2016-03-01,47840.0
2016-04-01,48067.0
2016-05-01,47111.0
2016-06-01,47063.0
2016-07-01,47128.0
2016-08-01,47243.0
2016-09-01,47282.0
2016-10-01,47501.0
2016-11-01,47824.0
2016-12-01,48688.0
2017-01-01,49487.0
2017-02-01,49994.0
2017-03-01,50339.0
2017-04-01,50377.0
2017-05-01,49230.0
2017-06-01,49395.0
2017-07-01,49747.0
2017-08-01,49932.0
2017-09-01,50171.0
2017-10-01,50502.0
2017-11-01,50812.0
2017-12-01,51356.0
2018-01-01,51912.0
2018-02-01,52131.0
2018-03-01,52418.0
2018-04-01,52245.0
2018-05-01,50529.0
2018-06-01,50317.0
2018-07-01,50329.0
2018-08-01,50720.0
2018-09-01,51091.0
2018-10-01,51809.0
2018-11-01,52403.0
2018-12-01,53101.0
2019-01-01,53556.0
2019-02-01,54462.0
2019-03-01,54339.0
2019-04-01,54208.0
2019-05-01,52292.0
2019-06-01,51568.0
2019-07-01,51273.0
2019-08-01,51621.0
2019-09-01,52139.0
2019-10-01,53046.0
2019-11-01,54039.0
2019-12-01,54685.0
2020-01-01,55227.0
2020-02-01,55493.0
2020-03-01,55619.0
2020-04-01,54977.0
2020-05-01,52741.0
2020-06-01,52050.0
2020-07-01,51819.0
2020-08-01,52682.0
2020-09-01,53706.0
2020-10-01,54973.0
2020-11-01,55667.0
2020-12-01,56551.0
2021-01-01,57081.0
2021-02-01,57146.0
2021-03-01,56933.0
2021-04-01,56129.0
2021-05-01,53475.0
2021-06-01,52603.0
2021-07-01,52839.0
2021-08-01,54120.0
2021-09-01,54872.0
2021-10-01,55813.0
2021-11-01,56493.0
2021-12-01,57162.0
2022-01-01,57773.0
2022-02-01,57991.0
2022-03-01,57901.0
2022-04-01,57159.0
2022-05-01,54553.0
2022-06-01,53643.0
2022-07-01,53277.0
2022-08-01,56617.0
2022-09-01,58734.0
2022-10-01,60165.0
2022-11-01,61080.0
2022-12-01,61987.0
2023-01-01,62509.0
2023-02-01,63006.0
2023-03-01,63316.0
2023-04-01,62567.0
2023-05-01,59242.0
2023-06-01,58873.0
2023-07-01,59693.0
2023-08-01,60996.0
2023-09-01,62228.0
2023-10-01,65530.0
2023-11-01,67368.0
2023-12-01,68907.0
2024-01-01,69993.0
2024-02-01,69979.0
2024-03-01,71745.0
2024-04-01,71573.0
2024-05-01,69230.0
2024-06-01,70217.0
2024-07-01,70293.0
2024-08-01,72060.0
2024-09-01,73620.0
2024-10-01,75616.0
2024-11-01,78448.0
2024-12-01,82302.0
2025-01-01,84757.0
2025-02-01,86543.0
