data,valor
2010-01-01,158339.0
2010-02-01,152791.0
2010-03-01,177533.0
2010-04-01,176816.0
2010-05-01,173905.0
2010-06-01,175093.0
2010-07-01,185898.0
2010-08-01,189077.0
2010-09-01,196166.0
2010-10-01,208810.0
2010-11-01,209545.0
2010-12-01,205779.0
2011-01-01,195733.0
2011-02-01,199277.0
2011-03-01,214893.0
2011-04-01,223396.0
2011-05-01,228025.0
2011-06-01,228974.0
2011-07-01,234556.0
2011-08-01,234390.0
2011-09-01,211180.0
2011-10-01,216152.0
2011-11-01,218338.0
2011-12-01,209568.0
2012-01-01,203259.0
2012-02-01,213659.0
2012-03-01,221353.0
2012-04-01,207864.0
2012-05-01,202170.0
2012-06-01,192765.0
2012-07-01,201399.0
2012-08-01,206088.0
2012-09-01,198273.0
2012-10-01,212176.0
2012-11-01,205901.0
2012-12-01,198643.0
2013-01-01,200761.0
2013-02-01,201121.0
2013-03-01,218463.0
2013-04-01,222236.0
2013-05-01,216122.0
2013-06-01,199369.0
2013-07-01,200287.0
2013-08-01,193137.0
2013-09-01,196654.0
2013-10-01,216833.0
2013-11-01,204520.0
2013-12-01,198953.0
2014-01-01,190158.0
2014-02-01,191059.0
2014-03-01,205169.0
2014-04-01,214877.0
2014-05-01,216675.0
2014-06-01,206234.0
2014-07-01,218570.0
2014-08-01,212809.0
2014-09-01,209926.0
2014-10-01,206900.0
2014-11-01,194328.0
2014-12-01,188141.0
2015-01-01,178241.0
2015-02-01,163720.0
2015-03-01,161738.0
2015-04-01,160877.0
2015-05-01,158183.0
2015-06-01,155034.0
2015-07-01,154744.0
2015-08-01,140226.0
2015-09-01,125800.0
2015-10-01,132229.0
2015-11-01,134086.0
2015-12-01,131289.0
2016-01-01,117565.0
2016-02-01,121955.0
2016-03-01,141021.0
2016-04-01,144758.0
2016-05-01,144723.0
2016-06-01,151466.0
2016-07-01,158623.0
2016-08-01,164545.0
2016-09-01,160412.0
2016-10-01,169002.0
2016-11-01,162978.0
2016-12-01,163086.0
2017-01-01,160941.0
2017-02-01,164437.0
2017-03-01,179365.0
2017-04-01,171525.0
2017-05-01,171717.0
2017-06-01,164849.0
2017-07-01,171262.0
2017-08-01,176523.0
2017-09-01,173540.0
2017-10-01,178035.0
2017-11-01,175800.0
2017-12-01,175191.0
2018-01-01,171698.0
2018-02-01,165767.0
2018-03-01,178766.0
2018-04-01,171362.0
2018-05-01,153740.0
2018-06-01,154019.0
2018-07-01,153862.0
2018-08-01,151594.0
2018-09-01,139264.0
2018-10-01,162144.0
2018-11-01,159873.0
2018-12-01,154125.0
2019-01-01,154501.0
2019-02-01,154787.0
2019-03-01,156538.0
2019-04-01,157484.0
2019-05-01,154105.0
2019-06-01,155016.0
2019-07-01,167454.0
2019-08-01,156842.0
2019-09-01,149875.0
2019-10-01,158676.0
2019-11-01,153080.0
2019-12-01,154441.0
2020-01-01,147314.0
2020-02-01,141472.0
2020-03-01,128999.0
2020-04-01,105778.0
2020-05-01,101257.0
2020-06-01,115819.0
2020-07-01,120789.0
2020-08-01,115569.0
2020-09-01,118941.0
2020-10-01,118823.0
2020-11-01,124524.0
2020-12-01,136243.0
2021-01-01,126291.0
2021-02-01,130075.0
2021-03-01,135999.0
2021-04-01,132420.0
2021-05-01,138163.0
2021-06-01,145957.0
2021-07-01,148534.0
2021-08-01,146287.0
2021-09-01,144552.0
2021-10-01,139564.0
2021-11-01,141915.0
2021-12-01,140737.0
2022-01-01,130719.0
2022-02-01,144853.0
2022-03-01,169314.0
2022-04-01,174596.0
2022-05-01,169529.0
2022-06-01,166688.0
2022-07-01,161515.0
2022-08-01,169481.0
2022-09-01,163450.0
2022-10-01,167287.0
2022-11-01,166566.0
2022-12-01,167574.0
2023-01-01,155772.0
2023-02-01,160211.0
2023-03-01,180016.0
2023-04-01,181017.0
2023-05-01,182891.0
2023-06-01,186423.0
2023-07-01,191707.0
2023-08-01,189921.0
2023-09-01,185286.0
2023-10-01,188108.0
2023-11-01,196087.0
2023-12-01,193553.0
2024-01-01,180479.0
2024-02-01,180709.0
2024-03-01,193421.0
2024-04-01,192442.0
2024-05-01,186903.0
2024-06-01,179538.0
2024-07-01,181503.0
2024-08-01,178552.0
2024-09-01,177819.0
2024-10-01,185659.0
2024-11-01,176283.0
2024-12-01,165108.0
2025-01-01,158208.0
2025-02-01,167397.0
