data,valor
2010-01-01,88.24677
2010-02-01,89.50848
2010-03-01,100.61294
2010-04-01,96.00315
2010-05-01,95.75818
2010-06-01,95.45739
2010-07-01,99.35013
2010-08-01,99.28475
2010-09-01,97.82166
2010-10-01,97.72893
2010-11-01,97.97586
2010-12-01,95.8771
2011-01-01,93.05428
2011-02-01,95.52192
2011-03-01,101.66185
2011-04-01,98.12018
2011-05-01,100.46754
2011-06-01,99.42723
2011-07-01,101.84445
2011-08-01,103.46653
2011-09-01,99.81738
2011-10-01,99.61582
2011-11-01,99.51162
2011-12-01,97.66239
2012-01-01,93.52781
2012-02-01,94.93883
2012-03-01,102.65376
2012-04-01,98.09542
2012-05-01,101.39879
2012-06-01,99.79796
2012-07-01,103.43307
2012-08-01,105.15064
2012-09-01,99.32095
2012-10-01,103.60698
2012-11-01,101.11489
2012-12-01,97.86171
2013-01-01,97.72431
2013-02-01,95.4911
2013-03-01,103.8195
2013-04-01,105.06986
2013-05-01,103.13021
2013-06-01,101.6197
2013-07-01,106.70657
2013-08-01,106.48345
2013-09-01,103.29916
2013-10-01,106.55063
2013-11-01,103.66489
2013-12-01,102.24939
2014-01-01,100.10637
2014-02-01,100.67574
2014-03-01,104.53393
2014-04-01,103.59717
2014-05-01,103.21133
2014-06-01,98.82024
2014-07-01,105.10909
2014-08-01,104.00418
2014-09-01,103.89764
2014-10-01,105.00765
2014-11-01,101.65224
2014-12-01,102.04211
2015-01-01,97.5238
2015-02-01,95.9949
2015-03-01,104.88666
2015-04-01,99.94554
2015-05-01,98.04694
2015-06-01,97.13174
2015-07-01,100.41241
2015-08-01,98.74273
2015-09-01,96.83121
2015-10-01,98.33464
2015-11-01,95.51192
2015-12-01,95.6088
2016-01-01,90.332
2016-02-01,91.96651
2016-03-01,98.49381
2016-04-01,95.34831
2016-05-01,93.45309
2016-06-01,94.74621
2016-07-01,95.80972
2016-08-01,96.78239
2016-09-01,93.85775
2016-10-01,93.21687
2016-11-01,92.94185
2016-12-01,93.77051
2017-01-01,90.56791
2017-02-01,90.92668
2017-03-01,99.65643
2017-04-01,93.7902
2017-05-01,95.22302
2017-06-01,94.59792
2017-07-01,97.02233
2017-08-01,98.23687
2017-09-01,94.55962
2017-10-01,95.5169
2017-11-01,94.90363
2017-12-01,95.48939
2018-01-01,92.91095
2018-02-01,91.18759
2018-03-01,99.31545
2018-04-01,97.47096
2018-05-01,92.77815
2018-06-01,96.04894
2018-07-01,98.92319
2018-08-01,100.54534
2018-09-01,95.20709
2018-10-01,98.21338
2018-11-01,96.7215
2018-12-01,95.82901
2019-01-01,93.83601
2019-02-01,94.00082
2019-03-01,97.48582
2019-04-01,97.87903
2019-05-01,97.76242
2019-06-01,94.75054
2019-07-01,100.38148
2019-08-01,99.66654
2019-09-01,96.92357
2019-10-01,100.34068
2019-11-01,97.50757
2019-12-01,96.59525
2020-01-01,94.05025
2020-02-01,94.34318
2020-03-01,95.63756
2020-04-01,83.80741
2020-05-01,84.50692
2020-06-01,89.09533
2020-07-01,95.72868
2020-08-01,95.2343
2020-09-01,96.11142
2020-10-01,98.05827
2020-11-01,96.72197
2020-12-01,97.5607
2021-01-01,92.15983
2021-02-01,94.12326
2021-03-01,101.3048
2021-04-01,97.35524
2021-05-01,96.22867
2021-06-01,96.50362
2021-07-01,99.94354
2021-08-01,99.31619
2021-09-01,97.15023
2021-10-01,96.51612
2021-11-01,97.80136
2021-12-01,99.23485
2022-01-01,91.94697
2022-02-01,95.67422
2022-03-01,104.72665
2022-04-01,100.17769
2022-05-01,99.77554
2022-06-01,99.28777
2022-07-01,104.0106
2022-08-01,104.52617
2022-09-01,101.11669
2022-10-01,99.99842
2022-11-01,98.9158
2022-12-01,99.84346
2023-01-01,95.44599
2023-02-01,98.76173
2023-03-01,110.89853
2023-04-01,104.04936
2023-05-01,102.88581
2023-06-01,102.31917
2023-07-01,105.51024
2023-08-01,106.19698
2023-09-01,101.91405
2023-10-01,102.06443
2023-11-01,101.73639
2023-12-01,101.77529
2024-01-01,99.51243
2024-02-01,102.41004
2024-03-01,109.93963
2024-04-01,109.4607
2024-05-01,104.84744
2024-06-01,105.93926
2024-07-01,111.74977
2024-08-01,110.24967
2024-09-01,107.31228
2024-10-01,109.49845
2024-11-01,105.76017
2024-12-01,104.44111
2025-01-01,103.05176
2025-02-01,106.61259
