ANO;MES;GRUPO_MERCADORIA;FRETE_MEDIO_RODOVIAS_TKU;DATA
2015;1;Contêineres;0.172;2015-01-01
2015;1;Diesel;0.216;2015-01-01
2015;1;Minério;0.116;2015-01-01
2015;1;Soja, milho e farelo;0.121;2015-01-01
2015;2;Contêineres;0.186;2015-02-01
2015;2;Diesel;0.205;2015-02-01
2015;2;Minério;0.107;2015-02-01
2015;2;Soja, milho e farelo;0.128;2015-02-01
2015;3;Soja, milho e farelo;0.151;2015-03-01
2015;3;Minério;0.131;2015-03-01
2015;3;Contêineres;0.208;2015-03-01
2015;3;Diesel;0.18;2015-03-01
2015;4;Soja, milho e farelo;0.157;2015-04-01
2015;4;Contêineres;0.197;2015-04-01
2015;4;Diesel;0.179;2015-04-01
2015;4;Minério;0.12;2015-04-01
2015;5;Soja, milho e farelo;0.139;2015-05-01
2015;5;Minério;0.108;2015-05-01
2015;5;Contêineres;0.212;2015-05-01
2015;5;Diesel;0.211;2015-05-01
2015;6;Contêineres;0.203;2015-06-01
2015;6;Diesel;0.222;2015-06-01
2015;6;Minério;0.12;2015-06-01
2015;6;Soja, milho e farelo;0.15;2015-06-01
2015;7;Soja, milho e farelo;0.15;2015-07-01
2015;7;Minério;0.122;2015-07-01
2015;7;Contêineres;0.205;2015-07-01
2015;7;Diesel;0.193;2015-07-01
2015;8;Contêineres;0.219;2015-08-01
2015;8;Diesel;0.207;2015-08-01
2015;8;Minério;0.13;2015-08-01
2015;8;Soja, milho e farelo;0.16;2015-08-01
2015;9;Minério;0.143;2015-09-01
2015;9;Contêineres;0.215;2015-09-01
2015;9;Diesel;0.21;2015-09-01
2015;9;Soja, milho e farelo;0.16;2015-09-01
2015;10;Soja, milho e farelo;0.167;2015-10-01
2015;10;Minério;0.139;2015-10-01
2015;10;Contêineres;0.229;2015-10-01
2015;10;Diesel;0.202;2015-10-01
2015;11;Contêineres;0.233;2015-11-01
2015;11;Diesel;0.22;2015-11-01
2015;11;Minério;0.143;2015-11-01
2015;11;Soja, milho e farelo;0.173;2015-11-01
2015;12;Contêineres;0.216;2015-12-01
2015;12;Diesel;0.211;2015-12-01
2015;12;Minério;0.118;2015-12-01
